City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,khandyga,62.6667,135.6,-37.38,99,93,0.26,RU,1707118499
143,laojunmiao,39.8333,97.7333,-5.04,62,2,2.85,CN,1707118499
144,lethem,3.3803,-59.7968,26.59,65,13,4.61,GY,1707118499
145,okhotsk,59.3833,143.3,-20.84,83,4,4.59,RU,1707118500
146,eyl,7.9803,49.8164,29.47,52,10,9.34,SO,1707118500
147,nova vicosa,-17.8919,-39.3719,24.29,89,84,1.19,BR,1707118500
148,banff,51.1762,-115.5698,-5.79,93,75,0.51,CA,1707118500
149,hasaki,35.7333,140.8333,3.22,94,100,11.8,JP,1707118501
150,kulhudhuffushi,6.6221,73.07,27.78,78,66,5.3,MV,1707118501
151,qala i naw,34.9874,63.1289,11.89,18,5,1.89,AF,1707118501
152,hermanus,-34.4187,19.2345,23.78,74,5,1.94,ZA,1707118501
153,ta`u,-14.2336,-169.5144,28.45,79,100,4.9,AS,1707118501
154,sisimiut,66.9395,-53.6735,-20.93,88,68,3.93,GL,1707118502
155,new norfolk,-42.7826,147.0587,21.72,37,8,3.79,AU,1707118502
156,hithadhoo,-0.6,73.0833,28.44,77,69,6.25,MV,1707118502
157,turpan,42.9333,89.1667,5.35,33,100,0.43,CN,1707118503
158,lompoc,34.6391,-120.4579,14.32,88,100,4.12,US,1707118503
159,saint-philippe,-21.3585,55.7679,27.77,75,99,5.05,RE,1707118503
160,cidade velha,14.9167,-23.6167,20.26,88,0,3.6,CV,1707118504
161,chonchi,-42.6128,-73.8092,16.56,99,100,1.1,CL,1707118504
162,lewiston orchards,46.3804,-116.9754,7.04,78,100,2.06,US,1707118461
163,lebu,-37.6167,-73.65,12.85,86,99,2.72,CL,1707118505
164,licata,37.1071,13.9461,14.58,53,0,2.5,IT,1707118505
165,pandan,14.0453,124.1694,27.36,74,12,4.47,PH,1707118505
166,kidal,18.4411,1.4078,15.64,18,97,9.18,ML,1707118505
167,golfito,8.639,-83.166,22.48,94,48,1.41,CR,1707118506
168,vadso,70.0744,29.7487,-4.91,63,75,7.72,NO,1707118506
169,luanda,-8.8368,13.2343,28.0,74,75,2.06,AO,1707118450
170,tazovsky,67.4667,78.7,-15.73,95,100,4.05,RU,1707118506
171,vila velha,-20.3297,-40.2925,23.97,91,20,0.89,BR,1707118306
172,mengcheng chengguanzhen,33.2661,116.566,-0.39,83,100,3.52,CN,1707118507
173,ust-nera,64.5667,143.2,-24.8,87,100,1.3,RU,1707118507
174,bredasdorp,-34.5322,20.0403,26.57,61,36,3.1,ZA,1707118507
175,callao,-12.0667,-77.15,26.51,73,0,3.6,PE,1707118508
176,buckeye,33.3703,-112.5838,16.01,54,9,2.15,US,1707118388
177,wuhai,39.6647,106.8122,-2.53,48,7,5.73,CN,1707118508
178,san patricio,28.017,-97.5169,17.69,52,0,7.51,US,1707118508
179,happy valley-goose bay,53.3168,-60.3315,-18.83,84,100,1.54,CA,1707118508
180,east london,-33.0153,27.9116,26.52,73,0,3.6,ZA,1707118509
181,hilo,19.7297,-155.09,19.6,92,100,3.6,US,1707118509
182,puerto penasco,31.3167,-113.5333,17.08,66,0,3.91,MX,1707118509
183,havre,49.5833,0.3333,8.22,87,100,7.72,FR,1707118510
184,puerto deseado,-47.7503,-65.8938,20.38,35,46,13.52,AR,1707118510
185,mikuni,36.2171,136.1519,0.95,97,100,9.27,JP,1707118510
186,yellowknife,62.456,-114.3525,-30.71,93,20,2.57,CA,1707118330
187,concepcion,-36.827,-73.0498,13.89,100,75,2.57,CL,1707118510
188,ust'-uda,54.1742,103.0304,-11.64,86,41,1.46,RU,1707118511
189,karlskrona,56.1616,15.5866,3.25,71,69,9.37,SE,1707118511
190,tiksi,71.6872,128.8694,-33.34,100,57,0.3,RU,1707118511
191,saint croix,17.7397,-64.7388,27.25,88,40,4.12,VI,1707118511
192,aioun,16.6614,-9.6149,17.81,9,9,5.14,MR,1707118512
193,port augusta,-32.5,137.7667,22.98,49,49,12.78,AU,1707118512
194,sinop,41.7711,34.8709,2.24,74,93,5.88,TR,1707118512
195,sarai,53.7458,41.0213,-3.78,96,100,1.96,RU,1707118512
196,fale old settlement,-9.3852,-171.2468,29.13,79,100,10.83,TK,1707118513
197,ar raqqah,35.95,39.0167,11.68,71,100,8.0,SY,1707118513
198,huron,41.1501,-82.5499,-0.68,96,4,2.84,US,1707118513
199,olyokminsk,60.3736,120.4264,-23.1,97,100,0.32,RU,1707118513
200,lazaro cardenas,17.9583,-102.2,20.58,75,0,1.68,MX,1707118513
201,pelotas,-31.7719,-52.3425,21.8,92,100,2.68,BR,1707118514
202,south grafton,-29.7,152.95,28.59,67,100,2.77,AU,1707118514
203,utrik,11.2278,169.8474,26.16,84,41,9.45,MH,1707118514
204,gulf breeze,30.3571,-87.1639,10.01,93,100,5.14,US,1707118296
205,kruisfontein,-34.0033,24.7314,23.82,56,1,4.79,ZA,1707118515
206,west island,-12.1568,96.8225,25.99,94,40,5.14,CC,1707118515
207,ligaya,12.6599,120.8923,29.98,60,18,3.08,PH,1707118515
208,saudarkrokur,65.7461,-19.6394,-13.95,94,84,1.75,IS,1707118515
209,saipan,15.1355,145.701,27.39,69,75,7.72,MP,1707118515
210,tura,25.5198,90.2201,20.92,34,99,1.73,IN,1707118516
211,grand falls-windsor,48.9332,-55.6649,-1.39,95,100,4.47,CA,1707118516
212,atafu village,-8.5421,-172.5159,28.72,81,100,10.64,TK,1707118516
213,san pelayo,8.9583,-75.8363,25.2,87,100,1.24,CO,1707118517
214,kodiak,57.79,-152.4072,0.73,93,100,2.06,US,1707118517
215,yinchuan,38.4681,106.2731,0.25,51,5,0.97,CN,1707118517
216,atasu,48.6814,71.6433,-4.78,84,96,4.7,KZ,1707118517
217,vung tau,10.346,107.0843,27.44,74,43,6.31,VN,1707118518
218,taksimo,56.3444,114.8794,-19.36,92,26,0.59,RU,1707118518
219,gordonvale,-17.0936,145.7842,29.97,87,100,1.06,AU,1707118518
220,terrace,54.5163,-128.6035,-1.55,68,0,10.29,CA,1707118518
221,kolonia,50.9333,6.95,11.09,78,75,6.69,DE,1707118352
222,fagersta,60.0042,15.7932,-3.75,93,7,2.08,SE,1707118519
223,portland,45.5234,-122.6762,10.6,68,100,4.02,US,1707118161
224,mersing,2.4312,103.8405,29.95,74,40,5.66,MY,1707118519
225,udachny,66.4167,112.4,-23.64,76,93,1.83,RU,1707118519
226,port douglas,-16.4833,145.4667,27.4,87,100,1.52,AU,1707118520
227,swakopmund,-22.6833,14.5333,18.88,91,85,2.31,NA,1707118520
228,pisco,-13.7,-76.2167,25.03,73,0,2.06,PE,1707118520
229,mogadishu,2.0371,45.3438,28.93,79,75,6.69,SO,1707118520
230,cronulla,-34.05,151.15,28.35,80,75,4.12,AU,1707118521
231,tavda,58.0425,65.2726,-10.73,95,100,3.58,RU,1707118521
232,onguday,50.75,86.15,-2.42,69,65,1.34,RU,1707118521
233,ryotsu-minato,38.0833,138.4333,3.14,80,100,6.8,JP,1707118521
234,luorong,24.4058,109.6086,7.74,83,100,3.22,CN,1707118522
235,kimbe,-5.5502,150.1429,27.43,88,100,1.4,PG,1707118522
236,pizarro,4.9533,-77.366,25.49,90,100,0.44,CO,1707118522
237,isla mujeres,21.2311,-86.731,19.03,77,5,5.96,MX,1707118522
238,zabol,32.25,67.25,0.69,46,0,1.89,AF,1707118522
239,vidalia,32.2177,-82.4135,8.88,93,100,2.57,US,1707118523
240,akureyri,65.6835,-18.0878,-12.04,79,75,2.06,IS,1707118523
241,keflavik,64.0049,-22.5624,-3.76,68,40,6.17,IS,1707118523
242,meulaboh,4.1363,96.1285,29.71,69,69,3.64,ID,1707118523
243,ambon,-3.6954,128.1814,33.08,58,40,4.63,ID,1707118524
244,kargasok,59.0556,80.8572,-5.58,93,100,4.02,RU,1707118524
245,sydney mines,46.2367,-60.2177,1.42,98,100,8.23,CA,1707118524
246,al hazm,16.1641,44.7769,26.33,39,1,0.66,YE,1707118524
247,lautoka,-17.6167,177.4667,28.92,74,40,3.6,FJ,1707118524
248,plettenberg bay,-34.0527,23.3716,24.9,71,27,3.15,ZA,1707118525
249,roma,43.2128,-75.4557,-0.24,94,100,0.45,US,1707118525
250,rongelap,11.1635,166.8941,26.13,75,87,9.42,MH,1707118525
251,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,26,9.59,RU,1707118525
252,kinwat,19.6333,78.2,34.39,23,0,3.64,IN,1707118526
253,serpa,37.9458,-7.5975,7.98,85,100,1.09,PT,1707118526
254,al jawf,29.5,38.75,11.27,36,0,2.19,SA,1707118526
255,al ghayzah,16.2079,52.176,26.52,49,0,3.21,YE,1707118459
256,lokomotivnyy,53.0118,60.5684,-0.89,90,100,10.28,RU,1707118526
257,mugia,43.1041,-9.2179,10.09,80,100,1.1,ES,1707118526
258,aldan,58.6031,125.3894,-24.59,95,48,1.19,RU,1707118527
259,logan,41.7355,-111.8344,4.39,76,100,0.45,US,1707118434
260,carnarvon,-24.8667,113.6333,27.18,55,7,12.01,AU,1707118527
261,woolgoolga,-30.1106,153.2007,26.93,75,100,6.72,AU,1707118527
262,genhe,50.7833,121.5167,-13.69,87,100,0.95,CN,1707118528
263,vorkuta,67.5,64.0,-15.85,93,100,1.96,RU,1707118528
264,dambatta,12.433,8.5154,18.67,14,97,7.64,NG,1707118528
265,katsuura,35.1333,140.3,9.9,90,100,9.14,JP,1707118446
266,nepanagar,21.4667,76.4,33.09,23,0,2.98,IN,1707118528
267,pendleton,45.6721,-118.7886,9.49,63,75,5.66,US,1707118489
268,cruzeiro do sul,-29.5128,-51.9853,23.06,93,100,0.61,BR,1707118529
269,tumpat,6.1978,102.171,35.65,70,20,2.57,MY,1707118529
270,zigong,29.3416,104.7769,9.96,66,100,3.27,CN,1707118529
271,kamaishi,39.2667,141.8833,0.98,64,100,4.75,JP,1707118529
272,kayangel,8.0823,134.7173,26.46,89,100,10.72,PW,1707118530
273,verkhnevilyuysk,63.4453,120.3167,-28.15,99,84,1.08,RU,1707118530
274,kolonia town,6.964,158.206,28.0,78,75,3.6,FM,1707118530
275,szecseny,48.0806,19.5202,10.36,76,100,9.39,HU,1707118530
276,canico,32.6333,-16.85,19.45,56,40,4.63,PT,1707118531
277,south portland,43.6415,-70.2409,-3.1,45,0,5.14,US,1707118314
278,kyzyl-mazhalyk,51.1333,90.6,-18.94,90,100,1.34,RU,1707118531
279,illizi,26.4833,8.4667,12.47,36,0,3.57,DZ,1707118531
280,howard springs,-12.497,131.047,33.32,70,43,4.68,AU,1707118531
281,west end,26.6833,-78.9667,20.99,60,84,5.77,BS,1707118531
282,at taj,24.2049,23.2857,12.99,37,0,2.63,LY,1707118532
283,fort bragg,35.139,-79.006,5.46,73,0,3.09,US,1707118532
284,n'zeto,-7.2312,12.8666,28.23,70,100,1.76,AO,1707118532
285,kavieng,-2.5744,150.7967,28.22,77,87,2.62,PG,1707118533
286,praia da vitoria,38.7333,-27.0667,17.14,94,75,7.62,PT,1707118533
287,laguna,38.421,-121.4238,13.94,88,100,5.66,US,1707118533
288,codrington,-38.2667,141.9667,16.75,55,48,5.68,AU,1707118533
289,meridian,43.6121,-116.3915,6.47,76,100,11.83,US,1707118462
290,kertih,4.5141,103.4483,31.01,62,20,4.12,MY,1707118534
291,otjiwarongo,-20.4637,16.6477,24.0,59,98,1.48,NA,1707118534
292,sitka,57.0531,-135.33,2.94,93,100,2.57,US,1707118399
293,mocimboa,-11.3167,40.35,30.12,72,100,3.48,MZ,1707118535
294,mont-dore,-22.2833,166.5833,28.89,99,100,5.54,NC,1707118535
295,haiku-pauwela,20.9219,-156.3051,21.13,80,20,9.26,US,1707118535
296,rio segundo,-31.6526,-63.9099,18.81,68,100,0.55,AR,1707118535
297,yanykurgan,43.915,67.2481,2.05,86,35,5.37,KZ,1707118536
298,al wafrah,28.6392,47.9306,16.63,34,3,1.11,KW,1707118536
299,el calafate,-50.3408,-72.2768,8.66,69,10,7.26,AR,1707118536
300,xilin hot,43.9667,116.0333,-4.94,95,100,1.86,CN,1707118537
301,el granada,37.5027,-122.4694,13.79,81,75,7.2,US,1707118537
302,tralee,52.2704,-9.7026,10.24,85,100,5.43,IE,1707118537
303,sangre grande,10.5835,-61.1177,27.18,100,37,3.91,TT,1707118537
304,puerto aysen,-45.4,-72.7,13.65,100,100,2.39,CL,1707118537
305,kerema,-7.9631,145.7785,28.76,78,41,3.35,PG,1707118538
306,venecia,5.9628,-75.7381,19.17,98,78,0.28,CO,1707118538
307,iquitos,-3.7481,-73.2472,24.02,94,100,1.54,PE,1707118538
308,tadine,-21.55,167.8833,25.64,90,100,8.36,NC,1707118538
309,cururupu,-1.8283,-44.8683,24.35,97,64,1.49,BR,1707118538
310,fortuna,40.5982,-124.1573,12.19,95,100,12.86,US,1707118539
311,norderney,53.7,7.15,9.43,90,100,15.01,DE,1707118539
312,camalu,30.85,-116.0667,12.03,80,9,2.01,MX,1707118540
313,kapuskasing,49.4169,-82.4331,-7.0,93,100,1.54,CA,1707118540
314,labrador city,52.9463,-66.9114,-26.05,73,0,0.0,CA,1707118541
315,novomichurinsk,54.0384,39.7479,-3.54,94,100,0.5,RU,1707118541
316,big spring,32.2504,-101.4787,7.35,74,0,4.12,US,1707118441
317,ts'alenjikha,42.6044,42.0682,4.18,98,100,0.95,GE,1707118541
318,broken hill,-31.95,141.4333,29.26,46,81,5.52,AU,1707118541
319,bandraboua,-12.7044,45.1223,31.82,72,99,4.1,YT,1707118542
320,tarabha,20.7333,83.65,33.45,23,0,2.45,IN,1707118542
321,magadi,12.9667,77.2333,32.09,21,0,4.89,IN,1707118542
322,mount gambier,-37.8333,140.7667,17.27,47,0,4.71,AU,1707118519
323,veracruz,19.3333,-96.6667,17.96,92,24,0.93,MX,1707118520
324,winnemucca,40.973,-117.7357,1.03,86,75,4.12,US,1707118543
325,mao,39.8885,4.2658,10.31,100,20,2.57,ES,1707118543
326,nyurba,63.2842,118.3319,-24.38,98,100,0.74,RU,1707118543
327,kiama,-34.6833,150.8667,26.92,89,100,1.53,AU,1707118543
328,wakkanai,45.4094,141.6739,-6.01,74,75,9.26,JP,1707118544
329,shancheng,34.7953,116.0817,-0.1,78,97,2.96,CN,1707118544
330,karratha,-20.7377,116.8463,35.61,36,14,10.64,AU,1707118544
331,pacific grove,36.6177,-121.9166,13.06,83,75,3.6,US,1707118349
332,tipasa,36.5897,2.4475,14.74,51,6,3.04,DZ,1707118544
333,riviere-du-loup,47.8304,-69.5342,-6.51,73,17,4.12,CA,1707118350
334,nova sintra,14.8667,-24.7167,21.2,68,0,4.29,CV,1707118545
335,san martin,-33.081,-68.4681,24.3,48,98,3.1,AR,1707118545
336,dalandzadgad,43.5708,104.425,-10.29,82,75,6.97,MN,1707118545
337,mata-utu,-13.2816,-176.1745,28.68,75,100,4.11,WF,1707118545
338,amga,60.8953,131.9608,-32.78,100,45,0.71,RU,1707118546
339,paradip garh,20.3167,86.6167,27.86,55,5,4.37,IN,1707118546
340,soure,-0.7167,-48.5233,26.81,84,55,4.54,BR,1707118546
341,kailua-kona,19.6406,-155.9956,22.98,79,75,3.09,US,1707118546
342,arraial do cabo,-22.9661,-42.0278,24.65,90,100,6.21,BR,1707118546
343,angaur state,6.906,134.13,25.84,93,100,8.79,PW,1707118547
344,lihue,21.9789,-159.3672,21.77,75,40,9.26,US,1707118442
345,es castell,39.8795,4.2854,10.38,100,20,2.57,ES,1707118547
346,martin,27.0837,-80.4164,16.66,99,99,1.35,US,1707118547
347,barahan,13.0121,120.762,28.67,66,14,3.97,PH,1707118547
348,santanyi,39.3546,3.1291,11.74,79,7,3.57,ES,1707118548
349,ulmeni,47.4667,23.3,9.09,86,100,10.68,RO,1707118548
